State,Year,Month,Civilian non-institutional population,Civilian labor force,Employed,Unemployed
New Mexico,1976,5,"804,000","478,400","435,737","42,663"
New York,1976,5,"13,219,000","7,699,911","6,917,563","782,348"
New York city,1976,5,"5,687,000","3,112,773","2,767,660","345,113"
North Carolina,1976,5,"3,926,000","2,604,867","2,446,767","158,100"
North Dakota,1976,5,"445,000","277,312","267,566","9,746"
Ohio,1976,5,"7,721,000","4,755,323","4,380,800","374,523"
Oklahoma,1976,5,"2,015,000","1,183,247","1,114,483","68,764"
Oregon,1976,5,"1,732,000","1,076,382","977,331","99,051"
Pennsylvania,1976,5,"8,798,000","5,120,204","4,703,981","416,223"
Rhode Island,1976,5,"694,000","435,966","400,890","35,076"
South Carolina,1976,5,"2,001,000","1,291,116","1,199,126","91,990"
South Dakota,1976,5,"480,000","308,764","299,427","9,337"
Tennessee,1976,5,"3,103,000","1,837,093","1,729,974","107,119"
Texas,1976,5,"8,922,000","5,684,052","5,350,734","333,318"
Utah,1976,5,"833,000","522,952","493,574","29,378"
Vermont,1976,5,"342,000","215,053","196,524","18,529"
Virginia,1976,5,"3,567,000","2,334,945","2,199,661","135,284"
Washington,1976,5,"2,623,000","1,593,891","1,455,187","138,704"
West Virginia,1976,5,"1,363,000","700,747","646,032","54,715"
Wisconsin,1976,5,"3,260,000","2,133,418","2,015,918","117,500"
Wyoming,1976,5,"274,000","177,909","170,664","7,245"
Alabama,1976,6,"2,631,000","1,493,270","1,396,510","96,760"
Alaska,1976,6,"240,000","163,686","152,003","11,683"
Arizona,1976,6,"1,647,000","984,254","890,022","94,232"
Arkansas,1976,6,"1,544,000","887,726","825,275","62,451"
California,1976,6,"15,804,000","9,870,502","8,990,510","879,992"
Los Angeles County,1976,6,"5,321,000","3,393,630","3,100,486","293,144"
Colorado,1976,6,"1,855,000","1,232,568","1,163,342","69,226"
Connecticut,1976,6,"2,259,000","1,457,458","1,319,292","138,166"
Delaware,1976,6,"420,000","264,322","240,938","23,384"
District of Columbia,1976,6,"517,000","335,657","306,449","29,208"
Florida,1976,6,"6,499,000","3,602,438","3,280,804","321,634"
Georgia,1976,6,"3,553,000","2,267,990","2,087,124","180,866"
Hawaii,1976,6,"591,000","410,779","371,272","39,507"
Idaho,1976,6,"588,000","371,921","350,995","20,926"
Illinois,1976,6,"8,174,000","5,148,731","4,811,721","337,010"
Indiana,1976,6,"3,810,000","2,433,743","2,292,942","140,801"
Iowa,1976,6,"2,081,000","1,335,660","1,283,290","52,370"
Kansas,1976,6,"1,647,000","1,070,168","1,025,075","45,093"
Kentucky,1976,6,"2,485,000","1,492,875","1,411,989","80,886"
Louisiana,1976,6,"2,705,000","1,527,804","1,424,206","103,598"
Maine,1976,6,"772,000","476,771","436,293","40,478"
Maryland,1976,6,"2,975,000","1,912,938","1,785,651","127,287"
Massachusetts,1976,6,"4,210,000","2,721,925","2,459,155","262,770"
Michigan,1976,6,"6,448,000","3,996,173","3,620,055","376,118"
Minnesota,1976,6,"2,811,000","1,846,239","1,743,269","102,970"
Mississippi,1976,6,"1,656,000","969,806","909,950","59,856"
Missouri,1976,6,"3,485,000","2,120,593","1,990,642","129,951"
Montana,1976,6,"536,000","327,764","308,353","19,411"
Nebraska,1976,6,"1,101,000","717,505","695,246","22,259"
Nevada,1976,6,"462,000","328,597","300,068","28,529"
New Hampshire,1976,6,"601,000","396,701","370,769","25,932"
New Jersey,1976,6,"5,381,000","3,311,189","2,967,398","343,791"
New Mexico,1976,6,"807,000","480,530","437,826","42,704"
New York,1976,6,"13,224,000","7,710,197","6,926,350","783,847"
New York city,1976,6,"5,685,000","3,112,378","2,766,261","346,117"
North Carolina,1976,6,"3,933,000","2,611,298","2,456,438","154,860"
North Dakota,1976,6,"446,000","278,512","268,372","10,140"
Ohio,1976,6,"7,726,000","4,752,606","4,385,437","367,169"
Oklahoma,1976,6,"2,019,000","1,185,470","1,117,372","68,098"
Oregon,1976,6,"1,736,000","1,081,143","983,132","98,011"
Pennsylvania,1976,6,"8,804,000","5,126,930","4,714,719","412,211"
Rhode Island,1976,6,"695,000","436,521","401,452","35,069"
South Carolina,1976,6,"2,005,000","1,292,328","1,201,890","90,438"
South Dakota,1976,6,"480,000","308,993","299,623","9,370"
Tennessee,1976,6,"3,110,000","1,851,184","1,743,304","107,880"
Texas,1976,6,"8,948,000","5,714,998","5,381,718","333,280"
Utah,1976,6,"835,000","525,864","496,755","29,109"
Vermont,1976,6,"342,000","216,002","197,661","18,341"
Virginia,1976,6,"3,575,000","2,339,651","2,204,049","135,602"
Washington,1976,6,"2,630,000","1,604,708","1,464,167","140,541"
West Virginia,1976,6,"1,366,000","698,539","645,282","53,257"
Wisconsin,1976,6,"3,263,000","2,140,193","2,024,313","115,880"
Wyoming,1976,6,"275,000","179,296","172,109","7,187"
Alabama,1976,7,"2,636,000","1,497,488","1,398,508","98,980"
Alaska,1976,7,"242,000","165,354","153,206","12,148"
Arizona,1976,7,"1,652,000","988,887","895,746","93,141"
Arkansas,1976,7,"1,545,000","891,219","830,028","61,191"
California,1976,7,"15,841,000","9,912,233","9,021,152","891,081"
Los Angeles County,1976,7,"5,330,000","3,400,753","3,104,324","296,429"
Colorado,1976,7,"1,859,000","1,235,853","1,164,288","71,565"
Connecticut,1976,7,"2,261,000","1,462,313","1,325,601","136,712"
Delaware,1976,7,"421,000","265,027","240,614","24,413"
District of Columbia,1976,7,"517,000","334,066","304,814","29,252"
Florida,1976,7,"6,514,000","3,605,780","3,288,271","317,509"
Georgia,1976,7,"3,559,000","2,276,334","2,095,905","180,429"
Hawaii,1976,7,"593,000","410,576","372,349","38,227"
Idaho,1976,7,"590,000","374,265","353,139","21,126"
Illinois,1976,7,"8,183,000","5,154,904","4,815,656","339,248"
Indiana,1976,7,"3,814,000","2,441,098","2,302,543","138,555"
Iowa,1976,7,"2,084,000","1,339,836","1,288,246","51,590"
Kansas,1976,7,"1,649,000","1,073,420","1,028,649","44,771"
Kentucky,1976,7,"2,490,000","1,494,595","1,414,170","80,425"
Louisiana,1976,7,"2,712,000","1,533,265","1,426,892","106,373"
Maine,1976,7,"774,000","477,028","436,637","40,391"
Maryland,1976,7,"2,979,000","1,917,430","1,788,622","128,808"
Massachusetts,1976,7,"4,213,000","2,723,542","2,467,055","256,487"
Michigan,1976,7,"6,454,000","4,007,046","3,637,730","369,316"
Minnesota,1976,7,"2,815,000","1,853,353","1,749,692","103,661"
Mississippi,1976,7,"1,659,000","972,883","912,384","60,499"
Missouri,1976,7,"3,489,000","2,132,641","2,000,098","132,543"
Montana,1976,7,"537,000","328,695","309,084","19,611"
Nebraska,1976,7,"1,102,000","718,924","696,607","22,317"
Nevada,1976,7,"464,000","330,705","302,176","28,529"
New Hampshire,1976,7,"602,000","398,797","373,163","25,634"
New Jersey,1976,7,"5,385,000","3,318,401","2,972,413","345,988"
New Mexico,1976,7,"810,000","482,648","439,924","42,724"
New York,1976,7,"13,230,000","7,714,711","6,928,065","786,646"
New York city,1976,7,"5,683,000","3,109,451","2,762,946","346,505"
North Carolina,1976,7,"3,940,000","2,616,425","2,462,323","154,102"
North Dakota,1976,7,"447,000","279,594","269,074","10,520"
Ohio,1976,7,"7,731,000","4,749,372","4,388,313","361,059"
Oklahoma,1976,7,"2,023,000","1,187,467","1,120,145","67,322"
Oregon,1976,7,"1,740,000","1,087,537","989,212","98,325"
Pennsylvania,1976,7,"8,810,000","5,130,996","4,724,714","406,282"
Rhode Island,1976,7,"696,000","437,006","401,730","35,276"
South Carolina,1976,7,"2,009,000","1,294,202","1,204,370","89,832"
South Dakota,1976,7,"481,000","309,365","299,746","9,619"
Tennessee,1976,7,"3,116,000","1,865,156","1,755,158","109,998"
Texas,1976,7,"8,974,000","5,739,119","5,407,584","331,535"
Utah,1976,7,"837,000","528,720","499,743","28,977"
Vermont,1976,7,"343,000","216,844","198,770","18,074"
Virginia,1976,7,"3,583,000","2,343,598","2,207,139","136,459"
Washington,1976,7,"2,636,000","1,618,080","1,474,961","143,119"
West Virginia,1976,7,"1,369,000","695,860","644,584","51,276"
Wisconsin,1976,7,"3,267,000","2,146,728","2,031,358","115,370"
Wyoming,1976,7,"276,000","180,577","173,470","7,107"
Alabama,1976,8,"2,641,000","1,502,397","1,400,824","101,573"
Alaska,1976,8,"243,000","166,528","153,864","12,664"
Arizona,1976,8,"1,658,000","993,223","900,283","92,940"
Arkansas,1976,8,"1,548,000","894,719","834,576","60,143"
California,1976,8,"15,879,000","9,950,583","9,044,297","906,286"
Los Angeles County,1976,8,"5,335,000","3,406,205","3,105,108","301,097"
Colorado,1976,8,"1,865,000","1,240,888","1,166,968","73,920"
Connecticut,1976,8,"2,263,000","1,465,194","1,330,591","134,603"
Delaware,1976,8,"422,000","265,641","240,547","25,094"
District of Columbia,1976,8,"517,000","332,802","303,227","29,575"
Florida,1976,8,"6,532,000","3,608,167","3,291,137","317,030"
Georgia,1976,8,"3,567,000","2,284,323","2,102,593","181,730"
Hawaii,1976,8,"594,000","410,176","373,163","37,013"
Idaho,1976,8,"592,000","376,375","355,153","21,222"
Illinois,1976,8,"8,192,000","5,159,514","4,817,462","342,052"
Indiana,1976,8,"3,819,000","2,446,534","2,308,102","138,432"
Iowa,1976,8,"2,086,000","1,343,674","1,292,323","51,351"
Kansas,1976,8,"1,651,000","1,076,173","1,031,626","44,547"
Kentucky,1976,8,"2,494,000","1,495,794","1,416,017","79,777"
Louisiana,1976,8,"2,718,000","1,536,888","1,428,989","107,899"
Maine,1976,8,"775,000","477,300","436,719","40,581"
Maryland,1976,8,"2,984,000","1,921,043","1,791,765","129,278"
Massachusetts,1976,8,"4,217,000","2,724,895","2,473,326","251,569"
Michigan,1976,8,"6,462,000","4,014,317","3,650,144","364,173"
Minnesota,1976,8,"2,819,000","1,860,375","1,754,797","105,578"
Mississippi,1976,8,"1,662,000","975,202","913,230","61,972"
Missouri,1976,8,"3,493,000","2,142,316","2,006,941","135,375"
Montana,1976,8,"538,000","330,148","310,336","19,812"
Nebraska,1976,8,"1,103,000","720,621","698,032","22,589"
Nevada,1976,8,"466,000","332,310","303,615","28,695"
New Hampshire,1976,8,"604,000","400,582","375,185","25,397"
New Jersey,1976,8,"5,389,000","3,323,094","2,975,450","347,644"
New Mexico,1976,8,"813,000","484,771","441,951","42,820"
New York,1976,8,"13,231,000","7,711,955","6,922,698","789,257"
New York city,1976,8,"5,677,000","3,104,484","2,758,293","346,191"
North Carolina,1976,8,"3,948,000","2,619,902","2,463,670","156,232"
North Dakota,1976,8,"448,000","280,450","269,615","10,835"
Ohio,1976,8,"7,738,000","4,747,542","4,390,667","356,875"
Oklahoma,1976,8,"2,027,000","1,189,336","1,122,770","66,566"
Oregon,1976,8,"1,745,000","1,094,762","995,155","99,607"
Pennsylvania,1976,8,"8,816,000","5,133,739","4,733,149","400,590"
Rhode Island,1976,8,"697,000","437,500","401,806","35,694"
South Carolina,1976,8,"2,014,000","1,296,450","1,206,523","89,927"
South Dakota,1976,8,"482,000","309,901","299,915","9,986"
Tennessee,1976,8,"3,122,000","1,876,977","1,764,092","112,885"
Texas,1976,8,"8,997,000","5,755,786","5,426,895","328,891"
Utah,1976,8,"840,000","531,187","502,237","28,950"
Vermont,1976,8,"344,000","217,539","199,763","17,776"
Virginia,1976,8,"3,590,000","2,346,485","2,209,333","137,152"
Washington,1976,8,"2,643,000","1,632,326","1,486,462","145,864"
West Virginia,1976,8,"1,371,000","693,315","644,460","48,855"
Wisconsin,1976,8,"3,272,000","2,152,299","2,036,363","115,936"
Wyoming,1976,8,"277,000","181,678","174,649","7,029"
Alabama,1976,9,"2,645,000","1,507,195","1,403,488","103,707"
Alaska,1976,9,"243,000","167,315","154,146","13,169"
Arizona,1976,9,"1,665,000","997,610","904,382","93,228"
Arkansas,1976,9,"1,552,000","898,178","838,703","59,475"
California,1976,9,"15,916,000","9,986,516","9,065,302","921,214"
Los Angeles County,1976,9,"5,341,000","3,410,178","3,104,688","305,490"
Colorado,1976,9,"1,870,000","1,247,308","1,171,424","75,884"
Connecticut,1976,9,"2,265,000","1,466,342","1,334,686","131,656"
